"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\README.md", "Markdown", 55, 0, 0, 0, 0, 0, 41, 96
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\package-lock.json", "JSON", 0, 30745, 0, 0, 0, 0, 1, 30746
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\package.json", "JSON", 0, 41, 0, 0, 0, 0, 1, 42
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\public\index.html", "HTML", 0, 0, 29, 0, 0, 14, 1, 44
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\public\style.css", "CSS", 0, 0, 0, 0, 115, 0, 34, 149
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\App.js", "JavaScript", 0, 0, 0, 53, 0, 0, 3, 56
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\adapters\FirebaseAdapters.js", "JavaScript", 0, 0, 0, 195, 0, 12, 18, 225
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\adapters\initFirebase.js", "JavaScript", 0, 0, 0, 16, 0, 4, 4, 24
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\components\CreateUser.js", "JavaScript", 0, 0, 0, 111, 0, 0, 9, 120
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\components\Feed.js", "JavaScript", 0, 0, 0, 18, 0, 1, 4, 23
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\components\Login.js", "JavaScript", 0, 0, 0, 80, 0, 0, 7, 87
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\components\NavBar.js", "JavaScript", 0, 0, 0, 49, 0, 0, 4, 53
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\components\NotFound.js", "JavaScript", 0, 0, 0, 16, 0, 0, 2, 18
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\components\User.js", "JavaScript", 0, 0, 0, 94, 0, 0, 6, 100
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\components\postComponents\CreatePost.js", "JavaScript", 0, 0, 0, 66, 0, 0, 6, 72
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\components\postComponents\Post.js", "JavaScript", 0, 0, 0, 25, 0, 0, 3, 28
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\components\postComponents\RenderPosts.js", "JavaScript", 0, 0, 0, 19, 0, 0, 3, 22
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\context\UserContext.js", "JavaScript", 0, 0, 0, 2, 0, 0, 2, 4
"e:\Programming\Codo a Codo\React\Projects\cac-react-final-project\src\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 4, 14
"Total", "-", 55, 30811, 29, 754, 115, 31, 154, 31949